name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
Dhofar 779,7525,Valid,L5,126,Found,2000,18.94137,54.69545,"(18.941370, 54.695450)"
Dhofar 780,7526,Valid,H5/6,1856,Found,2000,19.72137,54.67897,"(19.721370, 54.678970)"
Dhofar 781,7527,Valid,H5,1200,Found,2000,18.57135,54.71478,"(18.571350, 54.714780)"
Dhofar 782,7528,Valid,L6,708,Found,2000,18.41212,54.62893,"(18.412120, 54.628930)"
Dhofar 783,7529,Valid,H6,426,Found,2000,18.62047,54.71545,"(18.620470, 54.715450)"
Dhofar 784,7530,Valid,H5,590,Found,2000,18.95472,54.80468,"(18.954720, 54.804680)"
Dhofar 836,7582,Valid,Ureilite,995,Found,2000,18.34867,54.214,"(18.348670, 54.214000)"
Dhofar 837,7583,Valid,Ureilite,900.1,Found,2000,18.30583,54.14967,"(18.305830, 54.149670)"
Dhofar 933,7635,Valid,H4,48,Found,2000,19.28833,54.695,"(19.288330, 54.695000)"
Dhofar 934,7636,Valid,H4,68,Found,2000,18.925,54.59833,"(18.925000, 54.598330)"
Dhofar 936,7638,Valid,H4,62,Found,2000,18.89333,54.73167,"(18.893330, 54.731670)"
Dronino,7732,Valid,"Iron, ungrouped",40000,Found,2000,54.74667,41.42167,"(54.746670, 41.421670)"
Dry Lake Valley,7734,Valid,L6,3.5,Found,2000,37.72683,-114.7865,"(37.726830, -114.786500)"
El Gouanem,7805,Valid,Ureilite,2100,Found,2000,30.1,-6.85,"(30.100000, -6.850000)"
El Mirage Dry Lake 001,7810,Valid,H5,1.5,Found,2000,34.65433,-117.59638,"(34.654330, -117.596380)"
Fukang,34491,Valid,"Pallasite, PMG",1003000,Found,2000,44.43333,87.63333,"(44.433330, 87.633330)"
Gila Bend,30664,Valid,L5,3700,Found,2000,33.03333,-112.61667,"(33.033330, -112.616670)"
Golden Mile,10941,Valid,H4,378.8,Found,2000,35.89,-114.16667,"(35.890000, -114.166670)"
Great Sand Sea 020,11191,Valid,H,5420,Found,2000,26.01667,25.73333,"(26.016670, 25.733330)"
Grove Mountains 99001,11398,Valid,L3,428.9,Found,2000,-73.08333,75.2,"(-73.083330, 75.200000)"
Grove Mountains 99002,11399,Valid,LL4-6,17.5,Found,2000,-73.08333,75.2,"(-73.083330, 75.200000)"
Grove Mountains 99003,11400,Valid,L4,7.86,Found,2000,-73.08333,75.2,"(-73.083330, 75.200000)"
Grove Mountains 99004,11401,Valid,LL5,2.91,Found,2000,-73.08333,75.2,"(-73.083330, 75.200000)"
Grove Mountains 99005,11402,Valid,LL5,19.66,Found,2000,-73.08333,75.2,"(-73.083330, 75.200000)"
Grove Mountains 99006,11403,Valid,H4,2.55,Found,2000,-73.08333,75.2,"(-73.083330, 75.200000)"
Grove Mountains 99007,11404,Valid,L6,2.11,Found,2000,-73.08333,75.2,"(-73.083330, 75.200000)"
Grove Mountains 99008,11405,Valid,L4,1.94,Found,2000,-73.08333,75.2,"(-73.083330, 75.200000)"
Grove Mountains 99009,11406,Valid,H6,20.91,Found,2000,-73.08333,75.2,"(-73.083330, 75.200000)"
Grove Mountains 99010,11407,Valid,H6,0.93,Found,2000,-73.08333,75.2,"(-73.083330, 75.200000)"
Grove Mountains 99011,11408,Valid,H4,1.39,Found,2000,-73.08333,75.2,"(-73.083330, 75.200000)"
Grove Mountains 99012,11409,Valid,L4,5.36,Found,2000,-73.08333,75.2,"(-73.083330, 75.200000)"
Grove Mountains 99013,11410,Valid,LL5,3.13,Found,2000,-73.08333,75.2,"(-73.083330, 75.200000)"
Grove Mountains 99014,11411,Valid,L6,6.15,Found,2000,-73.08333,75.2,"(-73.083330, 75.200000)"
Grove Mountains 99015,11412,Valid,LL4,2.85,Found,2000,-73.08333,75.2,"(-73.083330, 75.200000)"
Grove Mountains 99016,11413,Valid,L6,38.8,Found,2000,-73.08333,75.2,"(-73.083330, 75.200000)"
Grove Mountains 99017,11414,Valid,L6,5.51,Found,2000,-73.08333,75.2,"(-73.083330, 75.200000)"
Grove Mountains 99018,11415,Valid,Eucrite,0.23,Found,2000,-73.08333,75.2,"(-73.083330, 75.200000)"
Grove Mountains 99019,11416,Valid,L3,4.55,Found,2000,-73.08333,75.2,"(-73.083330, 75.200000)"
Grove Mountains 99020,11417,Valid,L3,0.25,Found,2000,-73.08333,75.2,"(-73.083330, 75.200000)"
Grove Mountains 99021,11418,Valid,L3,1.7,Found,2000,-73.08333,75.2,"(-73.083330, 75.200000)"
Grove Mountains 99022,11419,Valid,L3,1.05,Found,2000,-73.08333,75.2,"(-73.083330, 75.200000)"
Grove Mountains 99023,11420,Valid,L6,3.08,Found,2000,-73.08333,75.2,"(-73.083330, 75.200000)"
Grove Mountains 99024,11421,Valid,L5,0.85,Found,2000,-73.08333,75.2,"(-73.083330, 75.200000)"
Grove Mountains 99025,11422,Valid,H5,4.17,Found,2000,-73.08333,75.2,"(-73.083330, 75.200000)"
Grove Mountains 99026,11423,Valid,L3,11.29,Found,2000,-73.08333,75.2,"(-73.083330, 75.200000)"
Grove Mountains 99027,11424,Valid,Martian (shergottite),9.97,Found,2000,-73.08333,75.2,"(-73.083330, 75.200000)"
Grove Mountains 99028,11425,Valid,H4,3.56,Found,2000,-73.08333,75.2,"(-73.083330, 75.200000)"
Guanaco,11433,Valid,"Iron, IIG",13100,Found,2000,-25.1,-69.53333,"(-25.100000, -69.533330)"
Gullhögen 001,44889,Relict,Relict OC,,Found,2000,58.38333,13.8,"(58.383330, 13.800000)"
